TeamID,TeamName,TeamCode
T-01,Algeria,DZA
T-02,Angola,AGO
T-03,Argentina,ARG
T-04,Australia,AUS
T-05,Austria,AUT
T-06,Belgium,BEL
T-07,Bolivia,BOL
T-08,Bosnia and Herzegovina,BIH
T-09,Brazil,BRA
T-10,Bulgaria,BGR
T-11,Cameroon,CMR
T-12,Canada,CAN
T-13,Chile,CHL
T-14,China,CHN
T-15,Colombia,COL
T-16,Costa Rica,CRI
T-17,Croatia,HRV
T-18,Cuba,CUB
T-19,Czech Republic,CZE
T-20,Czechoslovakia,CSK
T-21,Denmark,DNK
T-22,Dutch East Indies,IDN
T-23,East Germany,DDR
T-24,Ecuador,ECU
T-25,Egypt,EGY
T-26,El Salvador,SLV
T-27,England,ENG
T-28,France,FRA
T-29,Germany,DEU
T-30,Ghana,GHA
T-31,Greece,GRC
T-32,Haiti,HTI
T-33,Honduras,HND
T-34,Hungary,HUN
T-35,Iceland,ISL
T-36,Iran,IRN
T-37,Iraq,IRQ
T-38,Israel,ISR
T-39,Italy,ITA
T-40,Ivory Coast,CIV
T-41,Jamaica,JAM
T-42,Japan,JPN
T-43,Kuwait,KWT
T-44,Mexico,MEX
T-45,Morocco,MAR
T-46,Netherlands,NLD
T-47,New Zealand,NZL
T-48,Nigeria,NGA
T-49,North Korea,PRK
T-50,Northern Ireland,NIR
T-51,Norway,NOR
T-52,Panama,PAN
T-53,Paraguay,PRY
T-54,Peru,PER
T-55,Poland,POL
T-56,Portugal,PRT
T-57,Qatar,QAT
T-58,Republic of Ireland,IRL
T-59,Romania,ROU
T-60,Russia,RUS
T-61,Saudi Arabia,SAU
T-62,Scotland,SCO
T-63,Senegal,SEN
T-64,Serbia,SRB
T-65,Serbia and Montenegro,SCG
T-66,Slovakia,SVK
T-67,Slovenia,SVN
T-68,South Africa,ZAF
T-69,South Korea,KOR
T-70,Soviet Union,SUN
T-71,Spain,ESP
T-72,Sweden,SWE
T-73,Switzerland,CHE
T-74,Togo,TGO
T-75,Trinidad and Tobago,TTO
T-76,Tunisia,TUN
T-77,Turkey,TUR
T-78,Ukraine,UKR
T-79,United Arab Emirates,ARE
T-80,United States,USA
T-81,Uruguay,URY
T-82,Wales,WAL
T-83,West Germany,DEU
T-84,Yugoslavia,YUG
T-85,Zaire,COD
