TournamentID,TournamentName
WC-1930,1930 FIFA World Cup
WC-1934,1934 FIFA World Cup
WC-1938,1938 FIFA World Cup
WC-1950,1950 FIFA World Cup
WC-1954,1954 FIFA World Cup
WC-1958,1958 FIFA World Cup
WC-1962,1962 FIFA World Cup
WC-1966,1966 FIFA World Cup
WC-1970,1970 FIFA World Cup
WC-1974,1974 FIFA World Cup
WC-1978,1978 FIFA World Cup
WC-1982,1982 FIFA World Cup
WC-1986,1986 FIFA World Cup
WC-1990,1990 FIFA World Cup
WC-1994,1994 FIFA World Cup
WC-1998,1998 FIFA World Cup
WC-2002,2002 FIFA World Cup
WC-2006,2006 FIFA World Cup
WC-2010,2010 FIFA World Cup
WC-2014,2014 FIFA World Cup
WC-2018,2018 FIFA World Cup
WC-2022,2022 FIFA World Cup
WC-2026,2026 FIFA World Cup
